Mouse_ID,HI,Sex,infection_status,predicted_weight_loss,IFNy,CXCR3,IL.6,IL.13,IL1RN,CASP1,CXCL9,IDO1,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PRF1,RETNLB,SOCS1,TICAM1,TNF,hybrid_category,group,UMAP1,UMAP2
AA0165,0.4,F,TRUE,12.2985245843966,-17.3269905517667,-15.1890005113299,-22.6837771625224,-18.054087173158,-17.7738824845475,-13.2037386287235,-14.3090837885373,-16.9975751583745,-13.8270871789631,-13.4581855506376,-13.5706296353838,-12.9797557136659,-12.0043328360138,-14.9624846152194,-16.6847535180033,-13.9010580317499,-13.8990767636508,-16.523139853026,-14.4931304851048,Hybrid,F_TRUE,2.16574378852979,2.5431349592439756
AA0167,0.52,F,TRUE,13.3637957106788,-16.2487139618359,-14.3688344666848,-14.5815889966534,-16.486898417236,-18.1800652435305,-10.6905778309885,-13.0893339396228,-16.5933998382767,-12.6213218777175,-19.6247905466346,-11.7033190036444,-11.9628167173334,-11.8594990590028,-20.1066707092395,-12.3263052742696,-13.4533814738268,-12.5857386500491,-13.2538297354315,-13.2358648586647,Hybrid,F_TRUE,1.1040836839163555,3.0020581791612284
AA0168,0.52,F,TRUE,11.8667766264383,-15.4091666716246,-17.0935321989721,-14.9531611114955,-17.9122036745739,-20.355968941557,-21.3144207316747,-13.8337195383868,-18.9082078344684,-15.3421267504185,-16.392185079965,-14.3896242802524,-14.012292786905,-13.0298421124284,-18.3833728721143,-11.6182275905189,-13.8765544178615,-14.6645053034518,-16.2398226559172,-15.9451236057418,Hybrid,F_TRUE,0.45039853997656715,2.2580781866617414
AA0169,0.2307692308,M,TRUE,12.0798099205385,-21.4602967832759,-19.2707347972615,-21.7674352102714,-22.7928365525175,-27.4915283839373,-17.031467643102,-19.1881469236788,-23.6273462393097,-22.6502878677605,-21.1418489941706,-25.4686782668374,-24.5154131847992,-19.4136977768728,-16.1771573938715,-18.4656668802517,-23.1453184088845,-24.3179162327432,-22.0647515804463,-26.7447885582665,Hybrid,M_TRUE,-0.6932721181646431,-4.854030581694326
AA0171,0.7,M,FALSE,3.98300455075807,-19.1018302030194,-17.5700631839365,-17.8062073893637,-11.9611483044277,-23.7119175562347,-16.0505104966248,-16.8532531181745,-22.2430043011246,-13.8509672634834,-22.6284536094926,-12.816612401502,-14.0996638915873,-18.1062962184754,-16.2534872533472,-20.7987042853164,-17.6385716724967,-13.488556276478,-15.1588610839264,-18.0399819365478,Hybrid,M_FALSE,0.2738075001720016,3.3460688022182254
AA0173,0.9,M,TRUE,7.94538674419557,-19.0381906144711,-19.9961812826232,-15.5405832374547,-18.7884055750875,-14.2024750519212,-16.5350886740886,-16.5108123575806,-16.4793311327476,-16.707530964197,-15.0443086131613,-15.7685610573698,-14.9257471365974,-14.041136522708,-24.7271492683592,-18.3768948295485,-14.6518992322813,-16.2239569427864,-23.3163255212443,-16.2605004636394,Hybrid,M_TRUE,1.9861507228868014,0.7775615428004692
AA0175,0.3043478261,F,FALSE,14.8748236672447,-15.2032548133254,-17.3103578270386,-15.8006575213482,-17.5424462450661,-15.0353861534447,-16.434649934,-14.0493687120804,-14.4147892671649,-18.3505231658294,-15.9577871670445,-17.8034293984759,-16.8558993532138,-14.9324962011864,-19.0859145088764,-13.9785204240657,-15.7988316470374,-18.2371469722417,-15.4727083960521,-14.911202654528,Hybrid,F_FALSE,-0.23776787447760078,0.7921175890964828
AA0176,0.6,F,FALSE,12.590304916593,-14.0124455652467,-25.7452535509764,-20.1238935865259,-21.6767235166853,-22.3395341529967,-24.2316242410591,-24.294882726546,-22.4082099969076,-26.5455565406882,-28.9064727243877,-27.5285005779588,-26.5096356468952,-22.0554736244896,-19.4915384114925,-14.0681567864668,-26.5340724793842,-26.832234181341,-23.6515661719458,-24.294882726546,Hybrid,F_FALSE,-1.1849793595115814,-4.676607347091208
AA0183,0.75,M,FALSE,8.1975202202745,-18.6998742616191,-14.5524414031057,-18.8976801809098,-19.0864598304814,-19.5947637982724,-14.5664502625405,-22.7844884452014,-22.1196935733144,-12.7589308254828,-19.0813118749663,-12.1950327483374,-12.0248308656912,-12.5227367739981,-21.6974150741859,-18.1399275617297,-15.1134152891249,-12.2414276083365,-16.1673660941436,-10.5242208836706,Hybrid,M_FALSE,2.0040823046053,2.80133742965783
AA0190,0.56,F,FALSE,13.3389016924782,-15.2524079188636,-21.3544655519423,-16.4907629802878,-17.8733728508291,-14.1781410314127,-20.8599466085051,-14.4505901369765,-16.1408783243429,-17.7194202391591,-15.1062468190575,-17.1966144295507,-15.9767782319921,-14.9153509264333,-21.9872567301922,-15.0326429740135,-14.8977347666756,-17.53111171025,-16.5723214433166,-19.110132207858,Hybrid,F_FALSE,0.34951224853162377,-0.2210502312251258
AA0202,0.95,M,FALSE,10.4497957356789,-16.9915876317949,-14.139735682894,-13.3338368455926,-16.3392869923382,-18.2783741677865,-13.3866874280922,-15.0360532980927,-19.6102156543815,-12.1890582469624,-19.0153569786252,-11.1019377308879,-12.7677004614788,-11.9371431351477,-15.256273526307501,-14.4455262895944,-12.4762012219119,-12.0507006408373,-13.0330133876584,-14.0493687120804,M.m.musculus,M_FALSE,1.0526284962338341,3.0893177422557327
AA0208,0.76,F,FALSE,7.96347113777673,-26.4415934957393,-18.5237163948449,-18.3521456091543,-18.6467436494475,-26.5076591383851,-14.8752036148079,-22.6963454060112,-26.0582151451468,-18.0132566866432,-21.8509716596791,-25.2113867812809,-24.0116262250276,-19.4360718487153,-19.3948250773904,-15.5356141686338,-20.3079441800104,-16.4568321921288,-25.3421638361162,-22.2849611711401,Hybrid,F_FALSE,-0.7259038716314548,-5.083617872031092
AA0209,0.739130435,F,FALSE,6.91224985161322,-22.8372001208872,-17.8300338249809,-21.3453420528697,-11.6597909575666,-24.3581389226696,-13.8189511596211,-22.4682035045955,-24.1217153658853,-14.5014035022717,-18.6106960787869,-14.1531493211556,-13.3697503246311,-23.7652292444175,-18.3034452704183,-13.7305823488897,-16.4051936001681,-14.4828546769212,-19.6694824843735,-20.0788306695621,Hybrid,F_FALSE,-0.4120272588664366,3.1273120140374666
AA0237,0,F,TRUE,7.20504172619243,-24.9643550035582,-13.1582489459338,-15.062296205402,-16.6407806389195,-18.828504651274,-8.91369956690099,-17.4615261161504,-20.7684416421036,-12.6521560503049,-16.6515862654876,-11.4609131811829,-12.655594515163,-11.7147243994922,-18.3833728721143,-18.752326635134,-14.2692387050379,-13.3044178190874,-13.295804442771,-14.3616444546099,M.m.domesticus,F_TRUE,2.1968388685720255,3.131371786851138
AA0240,0.24,F,FALSE,6.52185754339594,-15.5722521084077,-17.4654844408116,-16.713307354375,-14.4981139431794,-13.1988839590935,-20.4400263095328,-17.7829256373684,-13.2975754795419,-16.8331180970041,-14.6188398626332,-15.8811374356091,-15.1950369480873,-17.9844586390778,-14.8172567348087,-14.4138394433414,-12.8884003872308,-15.7472222295755,-16.0257193151225,-17.8504110460823,Hybrid,F_FALSE,-1.735705042705716,2.2100040992940144
AA0243,0.85,M,TRUE,10.9300304568464,-17.6983866405375,-12.5552162585916,-15.6746752055239,-18.7287503992242,-19.3955795757982,-12.1682386065499,-15.2706914519695,-20.6837404793183,-12.4145302177053,-21.5069652176739,-11.8470544989954,-15.0021859227179,-14.3238246468308,-23.9307939649219,-13.7704548328461,-18.1924878064272,-12.3485640361748,-16.285518766999,-17.4159119756365,Hybrid,M_TRUE,1.2802571816280817,2.9317065586785103
